node_id,PHYSICALID,ST_LABEL,geom_0,geom_1,ST_WIDTH,SHAPE_Leng
81,26949,W 162 ST,-73.94249852721451 40.83713789323838,-73.93994981354732 40.836077487229055,30.0,804.149378065
82,3694,3 AV,-73.94839517770095 40.786460184511554,-73.94792440877127 40.78712062502046,70.0,273.666955075
83,72810,W 115 ST,-73.95025369291616 40.801360523851784,-73.95258849682273 40.80236162890808,30.0,742.210111139
84,135694,REILLY BLVD,-73.91830152516256 40.79133853910614,-73.91798001141765 40.791412469611814,10.0,93.0128846649
85,3560,MADISON AV,-73.97559123921307 40.757859658660955,-73.97513406399516 40.75848714947218,54.0,261.355241757
86,81164,W 30 ST,-73.9924623986208 40.74846973418142,-73.9896170542473 40.7472762208459,32.0,900.35828518
87,88895,NORFOLK ST,-73.9883662631773 40.71644570203691,-73.98787935797355 40.71740897253073,25.0,376.009853763
88,72641,W 81 ST,-73.977365102279 40.78446444109667,-73.97454045583096 40.78324253771812,30.0,900.043333138
89,19207,ADAM CLAYTON POWELL JR BOULEVARD,-73.94591021497024 40.812099954682445,-73.94547225500001 40.81272369452275,44.0,257.566202487
90,24831,HARLEM RIVER DR,-73.92988212512157 40.80115171423212,-73.92991768098213 40.801270431070144,20.0,44.3616732663
91,28057,AUDUBON AV,-73.93658972213001 40.842915333284004,-73.9361252908634 40.84355063609927,21.0,264.742253087
92,183545,W 121 ST,-73.95724527910522 40.809404168013735,-73.95872197192303 40.810009615224196,30.0,464.503333431
93,287,WEST ST,-74.01594492352275 40.70667641266343,-74.0157964950948 40.707071961249774,54.0,149.906638227
94,132045,FRANKLIN D ROOSEVELT DRIVE,-73.99172985385098 40.70962142332933,-73.98466491445585 40.71051417302441,30.0,1985.77675518
95,19822,E 88 ST,-73.95463127618578 40.78080040915795,-73.9530336795171 40.78012545503867,30.0,506.193180668
96,183056,E 40 ST,-73.9745159266883 40.74911701143847,-73.97314594439277 40.748539717376765,30.0,433.97066971
97,145498,STATE ST,-74.0138344107159 40.702405701038,-74.01442983236625 40.703150647286236,24.0,323.527439108
98,182973,RIVERSIDE DR,-73.96713793890407 40.80684348698421,-73.96689691709823 40.80756106953552,16.0,269.820757945
99,19417,W 125 ST,-73.96099794818991 40.81865258720214,-73.9610832784296 40.81873604684487,35.0,38.5023661003
100,82658,ACADEMY ST,-73.92551476996213 40.86713288933343,-73.92591873070076 40.867769201006446,19.0,257.352031431
101,3416,LEXINGTON AV,-73.94722940860908 40.79093947705261,-73.9476874938698 40.7903144595352,38.0,260.660906479
102,181524,W 115 ST,-73.95731723183214 40.80435583930517,-73.95825482580135 40.80471387844143,30.0,290.503686515
103,26847,W 204 ST,-73.92310987992958 40.86701558130157,-73.92362922412512 40.867815307060155,22.0,324.854528064
104,79011,GW BR EN,-73.94195526250279 40.84970417919322,-73.94232570731909 40.84977366661328,22.0,105.567208869
105,79910,HOWARD ST,-73.99923466760944 40.71891356735029,-73.99984031437683 40.71919298023251,24.0,196.338383876
106,181481,E 105 ST,-73.94055963793066 40.788949464856636,-73.94292746617377 40.78994868459664,30.0,749.959228466
107,81587,E 84 ST,-73.9613687269495 40.78022974904759,-73.95977377315846 40.779541418165834,30.0,507.94530623800006
108,66021,LEWIS ST,-73.97949553915734 40.71488988624976,-73.97921589062614 40.71540167689741,29.0,201.93458795900003
109,158043,FRANKFORT ST,-74.00525384095974 40.7119995946049,-74.00427373253115 40.711402624768795,25.0,348.051898817
110,65950,ALEX HAMILTON BR,-73.92990106036403 40.84575901852951,-73.92959548456976 40.84568456015911,48.0,88.7950957126
111,3659,3 AV,-73.9647554491405 40.7640570700971,-73.96429790392955 40.764681987117925,70.0,260.579680421
112,4262,UNION SQ W,-73.99121075933684 40.73588818569335,-73.99171498773394 40.73521530066662,24.0,282.182356738
113,2240,2 AV,-73.98898482054337 40.72677887514424,-73.98942914226258 40.726187462929246,56.0,248.181164126
114,72726,E 59 ST,-73.96308073594928 40.76008316323791,-73.96196573677754 40.75961946028312,20.0,352.072001845
115,26835,CLAYTON RD,-74.01962797865082 40.69091035699797,-74.01833520641622 40.68979232198482,20.0,542.6338997409999
116,130721,W 145 ST,-73.95293557883343 40.827295447000985,-73.9535227046036 40.827282861321336,12.0,162.552571726
117,141064,E 116 ST,-73.9324160488044 40.79474099208443,-73.93161778258096 40.79440236829519,30.0,253.13034995799998
118,129140,W 30 ST,-74.00211259178552 40.75253665445972,-74.00098125739429 40.75205902826366,30.0,358.514704292
119,16744,W 4 ST,-73.99506103516961 40.72881077203202,-73.99425278493557 40.72841245727644,30.0,266.913069059
120,81600,W 120 ST,-73.95921746258654 40.8093403079935,-73.96195062827526 40.81048905256152,30.0,864.6485763710001
121,23276,E 72 ST,-73.95374895626541 40.766852385102936,-73.95185896456609 40.766052701808974,20.0,599.145638578
122,2645,1 AV,-73.96802446378288 40.7513895300613,-73.96779702392054 40.7517170528876,22.0,134.945720636
123,19659,ST NICHOLAS AV,-73.93199509575894 40.85169579398211,-73.93149539341891 40.85238000713456,30.0,285.05052173
124,2598,1 AV,-73.97854094647867 40.73688765936045,-73.97805226497614 40.73755395365618,70.0,277.972751573
125,717,W 10 ST,-74.00239106870303 40.734339811862725,-74.0013887854462 40.73448281952688,24.0,282.614717427
126,3541,MADISON AV,-73.94484776899452 40.799986387769465,-73.94435366402398 40.80066349688195,54.0,282.085700756
127,174051,5 AV,-73.95528233480856 40.78858445548824,-73.95577735912323 40.78791392447104,42.0,280.128380467
128,1253,W 4 ST,-74.00278641385952 40.73363250851422,-74.00296962495031 40.73425234069781,22.0,231.46215757599998
129,183442,W 115 ST,-73.95586271534145 40.80374449517244,-73.95731723183214 40.80435583930517,30.0,460.175794521
130,81575,W 132 ST,-73.9451782448388 40.81341896378228,-73.94500097134338 40.81334498496274,44.0,55.9860475732
131,170961,E 90 ST,-73.95888401838828 40.78422633377924,-73.95856810077684 40.78408344353736,30.0,101.804971959
132,135689,RIVERS EDGE RD,-73.92759789913207 40.789620783377586,-73.92730886751553 40.78971124512622,20.0,96.9560901908
133,178063,W 150 ST,-73.94196781209524 40.827002395365604,-73.94244294196795 40.827202828011124,15.0,150.409813445
134,79636,BETHUNE ST,-74.00649818404379 40.736957591422694,-74.00825320575464 40.73696018038327,24.0,486.365009462
135,963,7 AV S,-74.0016930437978 40.73553459078625,-74.00197135286459 40.73506987937441,60.0,186.049458044
136,99643,RIVINGTON ST,-73.97998938304754 40.71753994835259,-73.97927818252593 40.71732596561991,14.0,212.005263126
137,77507,CONNECTOR,-74.00338846983769 40.759313699918465,-74.00315984307318 40.75923825343083,30.0,74.1333771977
138,19849,E 107 ST,-73.94418267636004 40.79224513642765,-73.94578426425574 40.79292144725297,30.0,507.32912450199996
139,82997,W 171 ST,-73.93841952722153 40.8429015926446,-73.93917782242742 40.843222813565035,30.0,240.243046831
140,82489,ST CLAIR PLACE,-73.96138876040199 40.817818075511525,-73.96102015661916 40.817648685195394,30.0,119.23967128700001
141,79763,THOMPSON ST,-74.00382928974068 40.72344931877649,-74.0044477717239 40.72271765101741,24.0,316.93636167799997
142,19351,LENOX AV,-73.94818509853754 40.80392013647303,-73.94772447984053 40.80454929573365,30.0,262.308326922
143,176450,PARK AV,-73.95452668716266 40.784038095114894,-73.95498705400064 40.78340606909164,42.0,263.20857885
144,456,GREENWICH ST,-74.00931760445077 40.724701550886394,-74.00934052493645 40.7245703270423,32.0,48.2291690421
145,2122,2 AV,-73.97080361265334 40.75174820121419,-73.97126234449263 40.75112224029439,70.0,261.08352793
146,3759,CENTRAL PARK W,-73.97172305621977 40.782021475959816,-73.97122292287071 40.78270625558759,31.0,285.356669413
147,25063,SHERMAN AV,-73.92601092857583 40.86357366400259,-73.92376718770662 40.86440362521263,30.0,690.363784232
148,27918,E 106 ST,-73.94950835579347 40.79360570939836,-73.94802011281826 40.79298028949114,30.0,470.88658201199996
149,160710,RIDGE ST,-73.9841551837033 40.717103648290156,-73.98423345972607 40.71695629502971,24.0,57.904688478000004
150,89942,DRIVEWAY,-73.9990656901224 40.72660534826391,-73.99816919414889 40.727680698034824,10.0,463.935816239
151,3511,MADISON AV,-73.96023811320458 40.77890536544202,-73.95977377315846 40.779541418165834,52.0,265.02678417
152,4317,E 17 ST,-73.99033070278527 40.73713186031702,-73.99222484880735 40.73791698490997,32.0,597.793971137
153,23369,E 60 ST,-73.96152208563745 40.760230359911446,-73.95926369584215 40.759284665273746,30.0,714.24576702
154,27992,CROSS BRONX EXPY,-73.94162979325067 40.849344709401834,-73.94132112988653 40.84926882146339,30.0,89.7592522082
155,155787,W 15 ST,-74.00201937835227 40.740444089406274,-74.00481580392774 40.74162322617922,34.0,886.031248728
156,675,CANAL ST,-73.99549812757246 40.71601588422278,-73.99580912349244 40.71664465920539,25.0,244.76733222400003
157,69469,W 40 ST,-73.99754616254756 40.75881506959126,-73.99738049984367 40.75872311533766,35.0,56.8215991836
158,16624,SHINBONE AL,-73.99473013006944 40.72693941931333,-73.99419003864264 40.72756374299207,16.0,272.299665856
159,91343,G WASHINGTON BR EN W 179 ST,-73.94122363561925 40.84956808640202,-73.94154381833042 40.849600603576434,30.0,89.3700641505
160,23223,E 65 ST,-73.96695119113502 40.766619753859075,-73.96544434773637 40.76598394317808,30.0,477.373804432
161,1312,10 AV,-74.0079030775365 40.7425644740629,-74.00769606599056 40.742830257298145,58.0,112.54894966
162,685,CANAL ST,-73.98933656576612 40.71413337551155,-73.99022012669926 40.71440493989802,28.0,264.169597394
163,137225,BRONX SHORE RD,-73.92419382460305 40.79794128931648,-73.92274565699401 40.79695675137068,10.0,577.628650922
164,1493,FRANKLIN D ROOSEVELT DRIVE,-73.97642902447372 40.714747018451696,-73.97640139328973 40.714804753290935,30.0,22.385860567199998
165,3545,MADISON AVE,-73.94299316850508 40.80256154361288,-73.94256680195015 40.8031943914323,60.0,259.02810971099996
166,3509,MADISON AV,-73.9611661379326 40.777635550088384,-73.96070124657614 40.77827162474078,52.0,265.109043156
167,2490,PARK AV,-73.97905508220126 40.75021854287663,-73.97860724134185 40.750842484388826,20.0,258.982677378
168,128844,CONNECTOR,-74.01681045314301 40.705136907633076,-74.01670727423507 40.70497664056607,11.0,68.4161280936
169,19442,ED KOCH QUEENSBORO BRG,-73.95334556529008 40.75631137516508,-73.95083917142104 40.75521808311388,24.0,800.526595766
170,72783,GW BR APPR,-73.94306863748629 40.84672603194509,-73.94287516349513 40.848279609367346,25.0,574.351838921
171,166476,LINCOLN TUN BUS APPR,-73.99543324676375 40.75783422900417,-73.99632967066383 40.757865346323754,15.0,277.968702825
172,79773,LAFAYETTE ST,-74.00302949461836 40.71558506543699,-74.00340361836321 40.71415051496126,48.0,534.577738853
173,1923,5 AV,-73.98900890144128 40.74231767132534,-73.98931843237608 40.74191394147798,28.0,170.273059525
174,160291,W 62 ST,-73.98908377243679 40.77348994507883,-73.98972242580233 40.7737538511508,17.0,201.333389084
175,1390,W 29 ST,-73.99006749242218 40.74665928260057,-73.99290928722098 40.74785495097746,32.0,899.8833669080001
176,92698,W 192 ST,-73.92871550149819 40.856181232513876,-73.92732238516778 40.85559438364055,30.0,440.71992468699995
177,135908,KAMINSKY RD,-73.91794122669019 40.790843094061785,-73.91818703674892 40.79063012052361,15.0,103.21675540700001
178,127896,BATTERY PL,-74.01662761249746 40.70479943133933,-74.0167548055502 40.70479811523013,21.0,35.2709060752
179,97558,W 186 ST,-73.939310466627 40.85498052641845,-73.93865170047037 40.854677054719545,26.0,213.157161562
180,81519,E 103 ST,-73.94607668694383 40.78964885915515,-73.9476874938698 40.7903144595352,30.0,507.701858779
181,3052,BROADWAY,-73.92889072625469 40.864662994881165,-73.9281094268889 40.86507896771178,31.0,263.950192964
182,72772,W 160 ST,-73.94004852498121 40.83449121047598,-73.93923710924534 40.83416331205616,30.0,254.33981389099998
183,89804,W 111 ST,-73.96610915697663 40.80478408296807,-73.96631999801812 40.804872195585716,30.0,66.6162608224
184,81585,E 84 ST,-73.95827194003569 40.778907831108526,-73.95805650442313 40.7788150460098,30.0,68.576743178
185,863,GROVE ST,-74.00397602133825 40.73291502007921,-74.00303209521854 40.73321509815091,24.0,283.528844436
186,3751,CENTRAL PARK W,-73.97645777399887 40.775532537251955,-73.97595517361154 40.77621975412371,31.0,286.47106681
187,96535,W 41 ST,-73.99437793278346 40.75837648446994,-73.9959423663154 40.75898097809013,60.0,486.15292576400003
188,1852,WASHINGTON SQ E,-73.99657214484283 40.7295522336267,-73.99606314802817 40.730155261095156,24.0,261.094065661
189,166473,LINCOLN TUN BUS APPR,-73.99529051938595 40.757867164045514,-73.99543324676375 40.75783422900417,20.0,41.3218080767
190,130121,MACOMBS PL,-73.93575820442595 40.8276328570093,-73.9353181775285 40.82759722659591,20.0,129.943331392
191,1662,CENTRE ST,-74.00405900803743 40.71313478975272,-74.00360280397281 40.71364543042638,25.0,224.95902874799998
192,67328,LINCOLN TUN BUS EXIT,-73.99632967066383 40.757865346323754,-73.9962047814863 40.758252838749,30.0,153.878339901
193,3642,3 AV,-73.9707591941885 40.75582485073992,-73.97031393611448 40.7564530190295,70.0,259.99032833
194,66969,RFK BRIDGE MANHATTAN ENTRANCE RP,-73.93098403806745 40.80133191193194,-73.93027359418097 40.80109595868015,30.0,215.78232783599998
195,846,VESTRY ST,-74.01045182504359 40.72285926372517,-74.00965379270306 40.722784591515634,40.0,222.87001021900002
196,2957,BROADWAY,-73.95637548119389 40.81813102901413,-73.95590649043288 40.818752022404084,30.0,260.845000021
197,67051,W 145 ST,-73.94475648879201 40.82403155625456,-73.94622236726669 40.82465161919324,30.0,464.35981979699994
198,72681,HARLEM RIVER DR,-73.93445400138924 40.817188528558795,-73.93433939003332 40.81692870684494,34.0,99.83668821
199,4287,W 35 ST,-73.98729377052082 40.750451608823525,-73.98777909947286 40.75066071396508,40.0,154.55174396200002
200,4355,AV A,-73.98628574022085 40.7222419195062,-73.98625235291505 40.722315459098596,22.0,28.3460378799
201,3633,3 AV,-73.97493471259061 40.750099627607256,-73.97444451625712 40.75076469249241,70.0,277.77395454599997
202,166626,W 73 ST,-73.97545932499851 40.77689872272685,-73.97829244313748 40.77809552333746,30.0,897.6701963710001
203,96920,E 43 ST,-73.97787494240556 40.75309839188107,-73.97878321394121 40.753480214859465,35.0,287.535942715
204,121,WATER ST,-74.00812645264551 40.70467179718315,-74.00739218847701 40.70518268851541,30.0,275.84645626400004
205,97281,W 128 ST,-73.95092865738916 40.812575071531455,-73.94975777095195 40.812103595963414,30.0,366.822557262
206,145176,RFK BRIDGE MANHATTAN ENTRANCE RP,-73.93380432380417 40.80203031702704,-73.93380119919564 40.80208867803588,24.0,21.280553218599998
207,25030,COLUMBUS CIR,-73.98211061533112 40.767744476043745,-73.98178946884207 40.76771386301845,80.0,91.4172411588
208,19749,W 138 ST,-73.95569660843533 40.82287647586624,-73.95576937327125 40.82290431985931,40.0,22.5775547171
209,23422,E 37 ST,-73.97606437803368 40.7473435576267,-73.9767349442729 40.747627890775405,40.0,212.729618072
210,82732,W 138 ST,-73.93936799428096 40.81599427720985,-73.93952395767994 40.816054710638895,15.0,48.4847048782
211,66974,RFK BRIDGE MANHATTAN ENTRANCE RP,-73.9296066153241 40.80097765148887,-73.92935854232434 40.800935607961925,20.0,70.36915423229999
212,105641,W MAIN ST,-73.95482181308137 40.75784407421468,-73.95391518512801 40.75749142495413,20.0,282.126660574
213,176469,W 91 ST,-73.97268972235055 40.790870735009776,-73.97400709768398 40.791425946357364,30.0,417.11541029800003
214,168391,N END AVE,-74.01619864214432 40.71476677006963,-74.01638618378759 40.714520630226396,14.0,118.557329298
215,3816,AMSTERDAM AV,-73.9703678611914 40.79405173715731,-73.96987063325336 40.79473520455477,60.0,284.536887005
216,82470,W 218 ST,-73.91215535952763 40.87038757645883,-73.91400985483267 40.871160593362404,21.0,585.138023535
217,4153,DELANCEY ST,-73.98824999449211 40.718462391639655,-73.98743405826006 40.71821308014949,46.0,243.738327082
218,168967,HARLEM RIVER DRIVE EXIT 19 NB,-73.93006306204288 40.801876374992865,-73.930049916488 40.80200971025559,11.0,48.714853034899996
219,3568,MADISON AV,-73.9792868623029 40.752800496942186,-73.97878321394121 40.753480214859465,54.0,284.251278764
220,23367,E 60 ST,-73.96286875013695 40.76082417977582,-73.96269457607582 40.76074605243633,30.0,56.0213116599
221,77467,LITTLE W 12 ST,-74.00794008935283 40.74029707765269,-74.00633307505359 40.73963109903023,30.0,507.138083744
222,215,12 AVE,-74.00795825631906 40.749260791081554,-74.00827951933162 40.75027197362549,32.0,381.08463002
223,183055,2 AV,-73.98544389943555 40.731657806760126,-73.98590859659755 40.73101907998302,58.0,265.970312455
224,3625,3 AV,-73.97860713336334 40.745057830107015,-73.97812378207455 40.745727173247516,70.0,278.221509184
225,72803,W 51 ST,-73.98362866799647 40.76206478970303,-73.9856467779072 40.76291487398042,30.0,639.115905091
226,81630,E 69 ST,-73.96361826373695 40.768486637407165,-73.9651277280123 40.76912316540135,30.0,478.121728595
227,79764,THOMPSON ST,-74.0044477717239 40.72271765101741,-74.00536435992264 40.722183951991596,30.0,401.711944497
228,72776,BARUCH PL,-73.97815333067953 40.71554519797946,-73.97817919295119 40.71549200119689,20.0,20.664756981900002
229,82648,MARBLE HILL AV,-73.90941677201087 40.87595252213943,-73.9094468851791 40.87627224603275,30.0,116.785399971
230,21815,CLAREMONT AV,-73.96488318108923 40.80844479942506,-73.96457366423017 40.808861980580325,21.0,174.48139501900002
231,89815,W 120 ST,-73.95494882013891 40.80759280638313,-73.95349969121969 40.80698128779096,30.0,458.88503732
232,814,WILLIAM ST,-74.00643549157509 40.70955732137347,-74.00609031833338 40.709912582728684,19.0,160.967297298
233,21684,CONVENT AV,-73.94808289815671 40.82210802151097,-73.9476222468389 40.822737079704275,15.0,262.264191169
234,896,11 AV,-73.99417335223653 40.76650459731163,-73.99372269705988 40.767133961969684,34.0,261.076570724
235,30784,UNNAMED ST,-73.94800005464265 40.76241486065867,-73.94907328553175 40.76299138381613,8.0,364.020051899
236,102558,PARK TER E,-73.91505692637539 40.87160289637399,-73.91574589754076 40.871043360716406,30.0,279.047712576
237,835,HOLLAND TUN APPR,-74.0079120604296 40.7236997672675,-74.00716635027406 40.72429595336639,30.0,300.48449127099997
